"id","nama","warna"
1,"Belum Teridentifikasi","#000000"
2,"Tanah Belum Dimanfaatkan","#C86CA9"
3,"Pemakaman","#CAC665"
4,"Permukiman","#BBCDE2"
5,"Taman Kota","#6EB55F"
6,"Perkantoran","#FABE47"
11,"Tempat Pariwisata","#607BB9"
12,"Alun-Alun","#909090"
13,"Terminal Pariwisata","#F1F678"
14,"Bangunan Niaga","#FC550E"
15,"Hotel","#555ACF"
16,"Bangunan Cagar Budaya","#12BD0C"
17,"Bangunan Pemerintah","#F9061A"
18,"Tempat Ibadah","#F0F807"
19,"Sekolah","#AE7C0D"
24,"Puskesmas","#DEB887"
25,"Permukiman Kembali","#FF7F50"
26,"Pariwisata","#BC8F8F"
27,"Pertambangan","#708090"
28,"Tempat Pelelangan Ikan","#AFEEEE"
29,"Bumi Perkemahan","#CD853F"
30,"Asrama","#8A2BE2"
31,"Jalan","#FF8C00"
